Codigo;Nome;Numero;;;;;;
5W;INTERLINE;?;;;;;;
U5;INTERNATIONAL BUSINESS AIR;?;;;;;;
F4;INTERNATIONAL FLYING SERVICES;?;;;;;;
3L;INTERSKY LUFTFAHRT;169;;;;;;
A2;INTERSOMAL AIRLINES;?;;;;;;
IR;IRAN AIR;?;;;;;;
IA;IRAQI AIRWAYS;?;;;;;;
2E;IRELAND AIRWAYS;?;;;;;;
G5;ISLAND AIR;?;;;;;;
DG;ISLAND AIRLINES;?;;;;;;
IS;ISLAND AIRLINES;?;;;;;;
2S;ISLAND EXPRESS;?;;;;;;
WP;ISLANDAIR;347;;;;;;
CN;ISLANDS NATIONAIR;?;;;;;;
WC;ISLENA AIRLINES;?;;;;;;
FW;ISLES OF SCILLY SKYBUS LTD.;?;;;;;;
6H;Israir Airlines;169;;;;;;
IL;ISTANBUL AIRLINES;?;;;;;;
JL;JAL SAO PAULO;131;;;;;;
LN;JAMAHIRIYA LIBYAN ARAB AIRLINES;?;;;;;;
3X;JAPAN AIR COMMUTER;?;;;;;;
JN;JAPAN AIR COMMUTER CO. LTD.;?;;;;;;
JL;JAPAN AIRLINES;131;;;;;;
EG;JAPAN ASIA AIRWAYS;?;;;;;;
NU;JAPAN TRANSOCEAN AIR;169;;;;;;
JT;JARO INTERNATIONAL;?;;;;;;
j9;Jazeera Airways;169;;;;;;
7C;JEJU AIR;169;;;;;;
QJ;JET AIRWAYS;?;;;;;;
9W;JET AIRWAYS (INDIA);169;;;;;;
JF;Jet Asia Airways;169;;;;;;
PP;JET AVIATION BUSINESS JETS;?;;;;;;
B6;JET BLUE;279;;;;;;
LF;JET TRAIN CORP.;?;;;;;;
ZT;JETAIR;169;;;;;;
TB;JETAIRFLY;169;;;;;;
8J;JETALL;169;;;;;;
S2;JetLite;169;;;;;;
GK;JETSTAR JAPAN.;169;;;;;;
BL;JETSTAR PACIFIC AIRLINES;169;;;;;;
P7;JOINT STOCK CO. EAST LINE AIR;?;;;;;;
J6;JOINT STOCK HOLDING COMPANY - AVCOM;?;;;;;;
Y7;JSC Airline Taimyr;169;;;;;;
R9;JSC DONAVIA;169;;;;;;
3J;Jubba Airways;169;;;;;;
HO;Juneyao Airlines;169;;;;;;
L3;KAIKEN LINEAS AEREAS;?;;;;;;
K8;KALININGRAD AIR ENTERPRISE;?;;;;;;
RQ;KAM AIR;169;;;;;;
KV;KAVMINVODYAVIA AIRLINES;169;;;;;;
K4;KAZAKHSTAN AIRLINES;?;;;;;;
KD;KD AVIA;169;;;;;;
M5;KENMORE AIR;?;;;;;;
4K;KENN BOREK AIR;?;;;;;;
KQ;KENYA AIRWAYS;169;;;;;;
K3;KETCHIKAN AIR SERVICE;?;;;;;;
6S;KETCHIKAN AIR SERVICE INC.;?;;;;;;
BZ;KEYSTONE AIR SERVICE;?;;;;;;
X6;KHORS AIRCOMPANY;?;;;;;;
IT;KINGFISHER AIRLINES;169;;;;;;
KL;KLM-ROYAL DUTCH AIRLINES;74;;;;;;
KE;KOREAN AIR;180;;;;;;
6K;KORSAR;?;;;;;;
MN;kulula;169;;;;;;
KUO;KUONI;?;;;;;;
KU;KUWAIT AIRWAYS;169;;;;;;
KH;KYRNAIR;?;;;;;;
A0;L'AVION;?;;;;;;
7Z;L. B. LIMITED;?;;;;;;
B0;LA COMPAGNIE;169;;;;;;
LR;LACSA;133;;;;;;
LR;LACSA (RIO);133;;;;;;
LR;LACSA POA;133;;;;;;
UC;LADECO AIRLINES;?;;;;;;
IV;LADESA;?;;;;;;
6F;LAKER AIRWAYS;?;;;;;;
TM;LAM-LINHAS AEREAS DE MOCAMBIQUE;169;;;;;;
LA;LAN CHILE S.A.;45;;;;;;
LP;LAN PERU;45;;;;;;
BN;LANDAIR INTERNATIONAL AIRLINES;?;;;;;;
XL;LANEQUADOR;45;;;;;;
QV;LAO AVIATION;169;;;;;;
MJ;LAPA;?;;;;;;
L8;LAPARKAN AIRWAYS;?;;;;;;
7K;LARRY'S FLYING SERVICE;?;;;;;;
6G;LAS VEGAS AIRLINES;?;;;;;;
KZ;LASER;?;;;;;;
NG;LAUDA AIR;?;;;;;;
W4;LC Peru;169;;;;;;
LQ;LEBANESE AIR TRANSPORT;?;;;;;;
QL;LESOTHO AIRWAYS CORP.;?;;;;;;
HE;LGW WALTER;?;;;;;;
LI;LIAT (1974);169;;;;;;
GC;LINA-CONGO;?;;;;;;
RT;LINCOLN AIRLINES;?;;;;;;
LL;LINEAS AEREAS ALLEGRO;?;;;;;;
XU;LINK AIRWAYS;?;;;;;;
TE;LITHUANIAN AIRLINES;?;;;;;;
LB;LLOYD AEREO BOLIVIANO;51;;;;;;
L2;LOKEN AVIATION;?;;;;;;
YL;LONG ISLAND AIRLINES;?;;;;;;
LO;LOT POLISH AIRLINES;80;;;;;;
4J;LOVE AIR/MONTSERRAT AIRWAYS;?;;;;;;
XO;LTE INTERNATIONAL AIRWAYS;?;;;;;;
LT;LTU INTERNATIONAL AIRWAYS;169;;;;;;
8L;LUCKY AIR;169;;;;;;
LH;LUFTHANSA;220;;;;;;
CL;LUFTHANSA CITYLINE;220;;;;;;
L5;LUFTTRANSPORT AS;169;;;;;;
LG;LUXAIR;169;;;;;;
L7;LVIV AIRLINES;?;;;;;;
IN;MACEDONIAN AIRLINES;169;;;;;;
DM;MAERSK AIR;?;;;;;;
VB;MAERSK AIR LTD.;?;;;;;;
H5;MAGADAN AIRLINES;?;;;;;;
W5;MAHAN AVIATION;169;;;;;;
M2;MAHFOOZ AVIATION;?;;;;;;
MH;MALAYSIA AIRLINES;232;;;;;;
MA;MALEV-HUNGARIAN AIRLINES;169;;;;;;
6E;MALMO AVIATION;900;;;;;;
R5;MALTA AIR CHARTER;?;;;;;;
RI;MANDALA AIRLINES;?;;;;;;
AE;MANDARIN AIRLINES LTD.;169;;;;;;
JE;MANX AIRLINES;?;;;;;;
M1;MAP LINHAS AÉREAS;950;;;;;;
MAP;MAP LINHAS AÉREAS;950;;;;;;
BF;MARKAIR INC.;?;;;;;;
MP;MARTINAIR HOLLAND;169;;;;;;
MY;MAYA ISLAND AIR;169;;;;;;
7M;MAYAir;169;;;;;;
VL;Med-View Airline;169;;;;;;
IG;MERIDIANA;169;;;;;;
MZ;MERPATI NUSANTARA AIRLINES;?;;;;;;
YV;MESA AIRLINES;?;;;;;;
XJ;MESABA AVIATION;?;;;;;;
OW;METAVIA AIRLINES;?;;;;;;
FY;METROFLIGHT AIRLINES;?;;;;;;
MX;MEXICANA;132;;;;;;
OM;MIAT-MONGOLIAN AIRLINES;169;;;;;;
ME;MIDDLE EAST AIRLINES;169;;;;;;
JI;MIDWAY AIRLINES;?;;;;;;
OX;MILLION AIR;?;;;;;;
Q2;MINERVA AIRLINES;?;;;;;;
FS;MISSIONARY AVIATION FELLOWSHIP;169;;;;;;
7G;MK AIRLINES;?;;;;;;
MW;MOKULELE AIRLINES;169;;;;;;
2M;MOLDAVIAN AIRLINES;169;;;;;;
ZB;MONARCH AIRLINES;?;;;;;;
YM;MONTENEGRO AIRLINES;169;;;;;;
M8;MOSCOW AIRWAYS;?;;;;;;
M9;Motor Sich Airlines;169;;;;;;
NM;MOUNT COOK AIRLINES;?;;;;;;
ZR;MUK AIR;?;;;;;;
Q4;MUSTIQUE AIRWAYS;?;;;;;;
MYA;MY ASSISTANCE;336;;;;;;
UB;MYANMA AIRWAYS;209;;;;;;
8M;MYANMAR AIRWAYS INTL.;169;;;;;;
MFB;MYSTIFLY;900;;;;;;
NC;NACIONAL TRANSPORTES AEROS;?;;;;;;
HC;NASKE-AIR;?;;;;;;
YJ;NATIONAL AIRLINES;?;;;;;;
N4;NATIONAL AIRLINES CHILE;?;;;;;;
N5;NATIONS AIR EXPRESS;?;;;;;;
CE;NATIONWIDE AIR;?;;;;;;
ON;Nauru Airlines;169;;;;;;
3Z;NECON AIR LTD.;?;;;;;;
D5;NEPC AIRLINES;?;;;;;;
EJ;NEW ENGLAND AIRLINES;?;;;;;;
HD;NEW YORK HELICOPTER;?;;;;;;
WA;NEWAIR;?;;;;;;
2N;Nextjet;169;;;;;;
6Y;NICARAGUENSES DE AVIACION;?;;;;;;
WT;NIGERIA AIRWAYS;?;;;;;;
HG;NIKI AIR;169;;;;;;
HN;NLM-DUTCH AIRLINES;?;;;;;;
NO;NO AR LINHAS AEREAS;238;;;;;;
5N;Nordavia - Regional Airlin;169;;;;;;
JH;NORDESTE;264;;;;;;
DJ;NORDIC EUROPEAN AIRLINES;?;;;;;;
NJ;NORDISK AVIATION PRODUCTS;?;;;;;;
NR;NORONTAIR;?;;;;;;
N9;NORTH COAST AVIATION;?;;;;;;
HW;NORTH-WRIGHT AIR;?;;;;;;
NW;NORTHWEST AIRLINES INC.;12;;;;;;
NV;NORTHWEST TERRITORIAL AIRWAYS LTD.;?;;;;;;
J3;Northwestern Air Lease;169;;;;;;
BJ;Nouvelair;169;;;;;;
UQ;O'CONNOR AIRLINES;?;;;;;;
O6;OCEANAIR (AJU);223;;;;;;
OC;OCEANAIR (AJU);223;;;;;;
OC;OCEANAIR (BEL);223;;;;;;
O6;OCEANAIR (BEL);223;;;;;;
OC;OCEANAIR (BHZ);223;;;;;;
O6;OCEANAIR (BHZ);223;;;;;;
O6;OCEANAIR (BNU);223;;;;;;
OC;OCEANAIR (BNU);223;;;;;;
OC;OCEANAIR (BSB);223;;;;;;
O6;OCEANAIR (BSB);223;;;;;;
OC;OCEANAIR (CCM);223;;;;;;
O6;OCEANAIR (CPQ);223;;;;;;
OC;OCEANAIR (CPQ);223;;;;;;
O6;OCEANAIR (CWB);223;;;;;;
OC;OCEANAIR (CWB);223;;;;;;
O6;OCEANAIR (FLN);223;;;;;;
OC;OCEANAIR (FLN);223;;;;;;
O6;OCEANAIR (FOR);223;;;;;;
OC;OCEANAIR (FOR);223;;;;;;
OC;OCEANAIR (GYN);223;;;;;;
O6;OCEANAIR (GYN);223;;;;;;
O6;OCEANAIR (IGU);223;;;;;;
O6;OCEANAIR (IPN);223;;;;;;
O6;OCEANAIR (JOI);223;;;;;;
OC;OCEANAIR (JOI);223;;;;;;
O6;OCEANAIR (LDB);223;;;;;;
OC;OCEANAIR (LDB);223;;;;;;
O6;OCEANAIR (MAO);223;;;;;;
OC;OCEANAIR (MAO);223;;;;;;
O6;OCEANAIR (MGF);223;;;;;;
OC;OCEANAIR (MGF);223;;;;;;
O6;OCEANAIR (NAT);223;;;;;;
OC;OCEANAIR (NAT);223;;;;;;
OC;OCEANAIR (POA);223;;;;;;
O6;OCEANAIR (POA);223;;;;;;
O6;OCEANAIR (RAO);223;;;;;;
OC;OCEANAIR (RAO);223;;;;;;
O6;OCEANAIR (REC);223;;;;;;
OC;OCEANAIR (REC);223;;;;;;
OC;OCEANAIR (RIO);223;;;;;;
O6;OCEANAIR (RIO);223;;;;;;
OC;OCEANAIR (SAO);223;;;;;;
O6;OCEANAIR (SAO);223;;;;;;
O6;OCEANAIR (SJK);223;;;;;;
OC;OCEANAIR (SJK);223;;;;;;
OC;OCEANAIR (SSA);223;;;;;;
O6;OCEANAIR (SSA);223;;;;;;
O6;OCEANAIR (SSZ);223;;;;;;
OC;OCEANAIR (SSZ);223;;;;;;
O6;OCEANAIR (UDI);223;;;;;;
OC;OCEANAIR (UDI);223;;;;;;
O6;OCEANAIR (VIX);223;;;;;;
OC;OCEANAIR (VIX);223;;;;;;
O6;OCEANAIR CVC;223;;;;;;
O6;OCEANAIR IOS;223;;;;;;
5K;ODESSA AIRLINES;?;;;;;;
4B;OLSON AIR SERVICE;?;;;;;;
OL;OLT-OSTFRIESISCHE LUFTTRANSPORT GMBH;169;;;;;;
OA;OLYMPIC AIRWAYS;169;;;;;;
7U;OLYMPIC AVIATION S.A.;?;;;;;;
WY;OMAN AIR;169;;;;;;
8Q;Onur Air;169;;;;;;
EC;OPENSKIE;452;;;;;;
NQ;ORBI GEORGIAN AIRWAYS;?;;;;;;
R2;ORENAIR;169;;;;;;
V6;ORIENT-AVIA AIRLINES;?;;;;;;
8P;PACIFIC COASTAL AIRLINES LIMITED;?;;;;;;
9J;PACIFIC ISLAND AVIATION;?;;;;;;
LW;PACIFIC WING AIRLINES;169;;;;;;
PK;PAKISTAN INTERNATIONAL AIRLINES;169;;;;;;
3D;PALAIR MACEIDONIAN AIR LINES;?;;;;;;
PF;PALESTINIAN AIRLINES;?;;;;;;
PV;PAN AIR;?;;;;;;
OP;PAN AM AIR BRIDGE;?;;;;;;
PA;PAN AMERICAN WORLD AIRWAYS INC.;?;;;;;;
##;PANTANAL;?;;;;;;
P8;PANTANAL;?;;;;;;
GP;PANTANAL;?;;;;;;
HI;PAPILLON AIRWAYS;?;;;;;;
BK;PARADISE ISLAND AIRLINES;?;;;;;;
P6;Pascan Aviation;169;;;;;;
P3;PASSAREDO;837;;;;;;
2Z;PASSAREDO TRANSPORTES;837;;;;;;
Y8;PASSAREDO TRANSPORTES;?;;;;;;
2Z;PASSAREDO TRANSPORTES RIA;837;;;;;;
7Q;PAWA DOMINICANA;?;;;;;;
9P;PELANGI AIR;?;;;;;;
KS;PENAIR;339;;;;;;
P9;Peruvian Airlines;169;;;;;;
PR;PHILIPPINE AIRLINES;169;;;;;;
2Q;PHOENIX AIRWAYS;?;;;;;;
PT;PIEDMONT AIRLINES;?;;;;;;
PU;PLUNA;286;;;;;;
PU;PLUNA (RIO);286;;;;;;
PU;PLUS ULTRA LINEAS AEREAS;169;;;;;;
CG;PNG Air;169;;;;;;
PO;POLAR AIR CARGO;?;;;;;;
YQ;POLET AIRLINES;169;;;;;;
PH;POLYNESIAN;?;;;;;;
PD;PORTER AIRLINES;169;;;;;;
NI;PORTUGALIA;?;;;;;;
PW;PRECISION AIR;169;;;;;;
RP;PRECISION AIRLINES;?;;;;;;
DK;PREMIAIR;?;;;;;;
OI;PRESTIGE AIRWAYS;?;;;;;;
T9;PRIME AIR;?;;;;;;
PVG;PRIVILEGE;?;;;;;;
P0;PROFLIGTH COMMUTER SERVICES;169;;;;;;
Z3;PROMECH AIR;?;;;;;;
YS;PROTEUS;?;;;;;;
OH;PSA AIRLINES;?;;;;;;
5P;PTARMIGAN AIRWAYS LTD.;?;;;;;;
Z4;PUMA AIR;221;;;;;;
QF;QANTAS AIRWAYS;81;;;;;;
QR;QATAR AIRWAYS;157;;;;;;
WZ;RED WINGS AIRLINES;169;;;;;;
RX;REDWING AIRWAYS;?;;;;;;
RV;REEVE ALEUTIAN AIRWAYS;?;;;;;;
RX;REGENT AIRWAYS;169;;;;;;
7S;REGION AIR;?;;;;;;
RL;REGION AIR CARIBBEAN;?;;;;;;
8N;Regional Air Services;169;;;;;;
VM;REGIONAL AIRLINES;?;;;;;;
QQ;RENO AIR INC.;?;;;;;;
9Z;REPLACEMENT SERVICE CARRIER;?;;;;;;
YX;REPUBLIC AIRLINE;?;;;;;;
RES;RESTEL;?;;;;;;
RW;RHEINLAND AIR SERVICE.;?;;;;;;
WE;RHEINTALFLUG SEEWALD;?;;;;;;
6R;RICHARDS AVIATION INC.;?;;;;;;
C7;RICO LINHAS AEREAS;224;;;;;;
GV;RIGA AIRLINES;?;;;;;;
SL;RIO-SUL - SERVICOS AEREOS REGIONAIS;293;;;;;;
JC;ROCKY MOUNTAIN AIRWAYS;?;;;;;;
WQ;ROMAVIA;?;;;;;;
ZD;ROSS AVIATION INC.;?;;;;;;
FV;ROSSIYA RUSSIAN AIRLINES;169;;;;;;
DW;ROTTNEST AIRLINES;?;;;;;;
5R;ROVER AIRWAYS;?;;;;;;
RR;ROYAL AIR FORCE;?;;;;;;
AT;ROYAL AIR MAROC;147;;;;;;
BI;ROYAL BRUNEI AIRLINES;169;;;;;;
RS;ROYAL FLIGHT OF OMAN;?;;;;;;
RJ;ROYAL JORDANIAN;512;;;;;;
RA;ROYAL NEPAL AIRLINES;?;;;;;;
ZC;ROYAL SWAZI NATIONAL AIRWAYS CORP.;?;;;;;;
WR;ROYAL TONGAN AIRLINES;?;;;;;;
7R;RusLine;169;;;;;;
R4;RUSSIA;?;;;;;;
WB;RWANDAIR EXPRESS;169;;;;;;
FR;RYANAIR;900;;;;;;
4Z;S. A. AIRLINK;?;;;;;;
FA;SAFAIR;?;;;;;;
F2;Safarilink;169;;;;;;
4Q;Safi Airways;169;;;;;;
K7;SAKHA AVIA;?;;;;;;
RH;SAL SAXONIA AIRLINES;?;;;;;;
8S;SALAIR INC.;?;;;;;;
E5;SAMARA AIRLINES;?;;;;;;
SE;SAMOA AIR;927;;;;;;
RZ;SANSA;?;;;;;;
S3;SANTA BARBARA AIRLINES;169;;;;;;
6W;Saratov Airlines;169;;;;;;
SK;SAS-SCANDINAVIAN AIRLI;117;;;;;;
SP;SATA AIR ACORES;169;;;;;;
S4;SATA INTERNATIONAL;169;;;;;;
SV;SAUDI ARABIAN AIRLINES;169;;;;;;
SK;SCANDINAVIAN;117;;;;;;
DV;SCAT Airlines;169;;;;;;
YR;SCENIC AIRLINES INC.;?;;;;;;
ZM;SCIBE-AIRLIFT;?;;;;;;
TZ;SCOOT Pte Ltd.;169;;;;;;
BB;SEABORNE AIRLINES;169;;;;;;
SG;SEMPATI AIR;169;;;;;;
VC;SERVIVENSA;?;;;;;;
SLX;SETE LINNHAS AEREAS;229;;;;;;
D2;SEVERSTAL AIRCOMPANY;169;;;;;;
NL;SHAHEEN AIR INTERNATIONAL;?;;;;;;
SC;SHANDONG AIRLINES;169;;;;;;
FM;SHANGHAI AIRLINES;169;;;;;;
SF;SHANGHAI AIRLINES;?;;;;;;
FM;SHANGHAI AIRLINES;900;;;;;;
4G;SHENZHEN AIRLINES;169;;;;;;
ZH;SHENZHENAIR AIRLINES;169;;;;;;
5M;SIBAVIATRANS;?;;;;;;
S7;SIBERIA AIRLINES;169;;;;;;
3U;SICHUAN AIRLINES;169;;;;;;
FT;SIEM REAP AIRWAYS;169;;;;;;
LJ;SIERRA NATIONAL AIRLINES;?;;;;;;
MI;SILKAIR;618;;;;;;
3M;SILVER AIRWAYS;169;;;;;;
SQ;SINGAPORE AIRLINES;618;;;;;;
6X;SITA;?;;;;;;
XS;SITA;?;;;;;;
7J;SKAGWAY AIR;?;;;;;;
H2;SKY AIRLINE;605;;;;;;
ZA;Sky Angkor Airlines;169;;;;;;
GQ;Sky Express;169;;;;;;
XW;SKY EXPRESS;169;;;;;;
NE;SKYEUROPE AIRLINES;169;;;;;;
NP;SKYTRANS;?;;;;;;
K9;SKYWARD AVIATION;?;;;;;;
JZ;SKYWAYS;169;;;;;;
OO;SKYWEST AIRLINES;?;;;;;;
XR;SKYWEST AIRLINES;169;;;;;;
YT;SKYWEST AIRLINES;?;;;;;;
9S;SLOVAK AIRLINES;?;;;;;;
QS;SMART WINGS;169;;;;;;
2C;SNCF;0;;;;;;
8R;SOL;169;;;;;;
SO;SOL LINHAS AEREAS;700;;;;;;
IE;SOLOMON AIRLINES;169;;;;;;
SZ;Somon Air;169;;;;;;
SA;SOUTH AFRICAN;83;;;;;;
SA;SOUTH AFRICAN AIRWAYS;83;;;;;;
XE;SOUTHCENTRAL AIR;?;;;;;;
2D;SOUTHEAST AIRLINES;?;;;;;;
6J;SOUTHEAST EUROPEAN AIRLINES;?;;;;;;
SJ;SOUTHERN AIR TRANSPORT;?;;;;;;
WK;SOUTHERN AIR TRANSPORT;220;;;;;;
ZO;SOUTHERN FLIGHT AVIATION;?;;;;;;
A4;SOUTHERN WINDS;?;;;;;;
WN;SOUTHWEST AIRLINES;526;;;;;;
JK;SPANAIR;680;;;;;;
NK;SPIRIT AIRLINES;900;;;;;;
UL;SriLankan Airlines;169;;;;;;
2R;STAR EUROPE;?;;;;;;
2I;STAR PERU;156;;;;;;
S9;Starbow Airlines;169;;;;;;
NB;STERLING EUROPEAN AIRLINES;?;;;;;;
CB;SUCKLING AIRWAYS;?;;;;;;
SD;SUDAN AIRWAYS;?;;;;;;
SUL;SULAMERICA;909;;;;;;
SY;SUN COUNTRY AIRLINES;169;;;;;;
X8;SUN COUNTY AIRLINES;?;;;;;;
EZ;SUN-AIR OF SCANDINAVIA;?;;;;;;
XQ;SunExpress;169;;;;;;
XG;SunExpress Deutschland;169;;;;;;
PI;SUNFLOWER AIRLINES;?;;;;;;
JX;SUNJET INTERNATIONAL AIRLINES;?;;;;;;
S6;Sunrise Airways;169;;;;;;
SM;SUNWORLD INTERNATIONAL;?;;;;;;
PY;SURINAM AIRWAYS;169;;;;;;
LX;SWISS;724;;;;;;
SR;SWISSAIR;85;;;;;;
7E;SYLT AIR;169;;;;;;
RB;SYRIAN ARAB AIRLINES;?;;;;;;
TW;T'way Air;169;;;;;;
DT;TAAG - ANGOLA AILINES;118;;;;;;
DT;TAAG - ANGOLA AIRLINES;118;;;;;;
T2;TABA-TRANSPORTES AEREOS REG. DA BACIA;?;;;;;;
T0;TACA;530;;;;;;
TA;TACA INTERNATIONAL AIRLINES S.A.;202;;;;;;
T0;TACA POA;530;;;;;;
VR;TACV-CABO VERDE AIRLINES;696;;;;;;
GD;TAESA;?;;;;;;
TAF;TAF LINHAS AEREAS;334;;;;;;
JJ;TAM;957;;;;;;
PZ;TAM;692;;;;;;
PZ;TAM;957;;;;;;
EQ;TAME;169;;;;;;
4E;TANANA AIR SERVICE;?;;;;;;
TP;TAP AIR PORTUGAL;47;;;;;;
9Q;TAQUAN AIR SERVICE INC.;?;;;;;;
RO;TAROM-ROMANIAN AIR TRANSPORT;169;;;;;;
PQ;TASHKENT AIRCRAFT;?;;;;;;
IJ;TAT EUROPEAN AIRLINES;?;;;;;;
U9;TATARSTAN AIR COMPANY;169;;;;;;
3K;TATONDUK FLYING SERVICE;169;;;;;;
T6;TAVREY AIRCOMPANY;?;;;;;;
4T;TCH OF RUSSIAN AIRLINES;?;;;;;;
RU;TCI SKYKING;?;;;;;;
TE;TEAM LINHAS AEREAS;986;;;;;;
E1;TEAM LINHAS AEREAS;225;;;;;;
TEA;TEAM TRANSPORTES AEREOS;992;;;;;;
ZJ;TEDDY AIR A/S;?;;;;;;
4P;TEESIDE AVIATION;?;;;;;;
TG;THAI AIRWAYS INTERNATIONAL LTD.;217;;;;;;
MT;Thomas Cook Airlines;169;;;;;;
GS;TIANJIN AIRLINES;169;;;;;;
3P;Tiara Air;169;;;;;;
5B;TIE AVIATION;?;;;;;;
TR;TIGER AIRWAYS;900;;;;;;
TI;TOL AIR SERVICE;?;;;;;;
TL;TOTAL;987;;;;;;
T1;TOTAL LINHAS AEREAS S/A;226;;;;;;
9D;TOUMAI AIR TCHAD;169;;;;;;
TOU;TOURICO;?;;;;;;
FF;TOWER AIR;?;;;;;;
TJ;Tradewind Aviation;169;;;;;;
Y9;TRANS AIR CARGO;?;;;;;;
7T;TRANS COTE;?;;;;;;
AX;TRANS STATES AIRLINES;?;;;;;;
UN;TRANSAERO AIRLINES;169;;;;;;
GE;TRANSASIA AIRWAYS;?;;;;;;
HV;TRANSAVIA AIRLINES;?;;;;;;
TR;TRANSBRASIL;?;;;;;;
DZ;TRANSCARAIBES AIR INTERNATIONAL;?;;;;;;
THL;TRANSHOTEL;?;;;;;;
T7;TRANSLIFT AIRWAYS;?;;;;;;
TH;TRANSMILE AIR SERVICE;?;;;;;;
8B;TransNusa;169;;;;;;
5U;TRANSPORTES AEREOS;169;;;;;;
YZ;TRANSPORTES AEREOS DA GUINE-BISSAU;900;;;;;;
QT;TRANSPORTES AEREOS MERCANTILES;?;;;;;;
T8;TRANSPORTES AEREOS NEUQUEN DEL ESTADO;?;;;;;;
BH;TRANSTATE AIRLINES;?;;;;;;
TQ;TRANSWEDE AIRWAYS;?;;;;;;
OF;TRAVAUX AERIENS DE MADAGASCAR;?;;;;;;
TVC;TRAVCO;?;;;;;;
ACE;TRAVEL ACE ASSISTANCE;337;;;;;;
U3;TRAVELAIR;?;;;;;;
TRE;TREND;?;;;;;;
TRE;TREND INTERNACIONAL;?;;;;;;
TRP;TRIP;996;;;;;;
8R;TRIP LINHAS AEREAS;?;;;;;;
T4;TRIP LINHAS AEREAS;661;;;;;;
9N;TROPIC AIR;169;;;;;;
PM;TROPIC AIR;?;;;;;;
OR;TUIfly Netherlands;169;;;;;;
UG;TUNINTER;?;;;;;;
TU;TUNIS AIR;169;;;;;;
3T;TURAN AIR AIRLINE;?;;;;;;
UF;TURKESTAN AIRLINES;?;;;;;;
TK;TURKISH AIRLINES;235;;;;;;
T5;Turkmenistan Airlines;169;;;;;;
QW;TURKS AND CAICOS AIRWAYS;?;;;;;;
U8;Tus Airways;169;;;;;;
WI;U-LAND AIRLINES;?;;;;;;
UE;UAIR AIR EURO AMERICA S/A;?;;;;;;
QU;UGANDA AIRLINES;?;;;;;;
PS;UKRAINE INTERNATIONAL AIRLINES;169;;;;;;
B7;Uni Air;169;;;;;;
UA;UNITED AIR LINES;16;;;;;;
UA;UNITED AIRLINES;16;;;;;;
5X;UNITED PARCEL SERVICE CO.;?;;;;;;
UW;UNIVERSAL AIRLINES;?;;;;;;
UV;UNIVERSAL AIRWAYS;?;;;;;;
U6;URAL AIRLINES;169;;;;;;
US;US AIRWAYS;1;;;;;;
UH;US HELICOPTER CORP;256;;;;;;
UT;UTAIR AVIATION JSC;169;;;;;;
HY;UZBEKISTAN AIRWAYS;169;;;;;;
J7;VALUJET AIRLINES;?;;;;;;
RG;VARIG;42;;;;;;
VP;VASP;343;;;;;;
VP;VASP VIACAO AEREA SAO PAULO;343;;;;;;
V4;Vieques Air Link;169;;;;;;
VI;VIEQUES AIR LINK INC.;?;;;;;;
VJ;VietJet Air;169;;;;;;
VN;VIETNAM AIRLINES;169;;;;;;
NN;VIM AIRLINES;169;;;;;;
VX;Virgin America;169;;;;;;
VS;VIRGIN ATLANTIC;169;;;;;;
VA;VIRGIN AUSTRALIA INTL;169;;;;;;
TV;VIRGIN EXPRESS;?;;;;;;
S5;VIRGIN ISLANDS AIRWAYS;?;;;;;;
VK;VIRGIN NIGERIAN AIRWAYS;169;;;;;;
5V;VISTAJET;?;;;;;;
UK;Vistara;169;;;;;;
XF;VLADIVOSTOK AIR;169;;;;;;
VG;VLM NEDERLAND;169;;;;;;
V7;Volotea;169;;;;;;
4V;VOYAGEUR AIRWAYS;?;;;;;;
VY;VUELING AIRLINES;169;;;;;;
3V;WAGLISLA AIR INC.;?;;;;;;
4W;WARBELOW'S AIR VENTURES;?;;;;;;
WG;WASAYA AIRWAYS;?;;;;;;
KY;WATERWINGS AIRWAYS (TE ANAU) LTD.;?;;;;;;
WH;WEBJET LINHAS AEREAS;993;;;;;;
WJ;WEBJET LINHAS AEREAS;993;;;;;;
2W;WELCOME AIR;169;;;;;;
8O;WEST COAST AIR;?;;;;;;
3W;WEST COAST AIRLINES;?;;;;;;
OE;WESTAIR AIRLINES;?;;;;;;
MB;WESTERN AIRLINES;?;;;;;;
2U;WESTERN PACIFIC AIR;?;;;;;;
W7;WESTERN PACIFIC AIRLINES;169;;;;;;
WS;WestJet;169;;;;;;
WW;WHYALLA AIRLINES;?;;;;;;
WF;WIDEROES FLYVESELSKAP;?;;;;;;
WM;WIN AIR;169;;;;;;
7W;Windrose Airlines;169;;;;;;
WM;WINDWARD ISLAND AIRWAYS INT'L. N.V.;169;;;;;;
K5;WINGS OF ALASKA;169;;;;;;
RM;WINGS WEST AIRLINES;?;;;;;;
WO;WORLD AIRWAYS;?;;;;;;
8V;WRIGHT AIR SERVICE;?;;;;;;
WU;WUHAN AIRLINES;?;;;;;;
MF;XIAMEN AIRLINES;169;;;;;;
R3;YAKUTIA AIRLINES;169;;;;;;
YE;YanAir;169;;;;;;
IY;YEMENIA YEMEN AIRWAYS;169;;;;;;
4Y;YUTE AIR ALASKA;?;;;;;;
QZ;ZAMBIA AIRWAYS;?;;;;;;
OQ;ZAMBIA EXPRESS;?;;;;;;
